selection_method,run,generation,best_fitness,avg_fitness,diversity,fitness_delta,normalized_fitness,inv_best_fitness,inv_avg_fitness
ranking,1,8,0.20572083108403294,0.2763153582779963,0.027478928444801973,6.591377313291957e-05,0.00032030135458271936,4.8609328175361295,3.619040169145253
ranking,1,9,0.20572083108403294,0.2737282811992837,0.029661936505357585,0.0,0.00032030135458271936,4.8609328175361295,3.6532445327687393
ranking,2,0,0.221454877945793,0.24975059817224984,0.012886642583137547,0.0,0.0,4.515572173003128,4.003978382193636
ranking,2,1,0.221454877945793,0.25415404817190446,0.014283495814925967,0.0,0.0,4.515572173003128,3.9346060886566527
ranking,2,2,0.221454877945793,0.25748557347898543,0.015351312174169504,0.0,0.0,4.515572173003128,3.883697648730466
ranking,2,3,0.221454877945793,0.26221671183578216,0.013877288803627149,0.0,0.0,4.515572173003128,3.813624918770801
ranking,2,4,0.221454877945793,0.2663413538781993,0.014675004472998117,0.0,0.0,4.515572173003128,3.7545662018790633
ranking,2,5,0.221454877945793,0.2653248214624278,0.016982691891307918,0.0,0.0,4.515572173003128,3.7689509241436867
ranking,2,6,0.221454877945793,0.26850326695755594,0.0160587928585726,0.0,0.0,4.515572173003128,3.7243355993224347
ranking,2,7,0.221454877945793,0.2683483924352511,0.018255140976489635,0.0,0.0,4.515572173003128,3.7264850534039717
ranking,2,8,0.221454877945793,0.26941976347090585,0.017908828345507066,0.0,0.0,4.515572173003128,3.711666417677522
ranking,2,9,0.22113758643523965,0.270751994583558,0.019919573627782836,0.0003172915105533469,0.0014327591855123334,4.522051154075047,3.693403286409033
ranking,3,0,0.21773378429367643,0.2560483929613261,0.018511003591265656,0.0,0.0,4.5927434297829945,3.905496468609246
ranking,3,1,0.21773378429367643,0.26192876598632553,0.01975003888903257,0.0,0.0,4.5927434297829945,3.8178173306664456
ranking,3,2,0.21773378429367643,0.26761647109655207,0.021083251256633705,0.0,0.0,4.5927434297829945,3.7366768167359905
ranking,3,3,0.21773378429367643,0.2675359671569358,0.023790771080408786,0.0,0.0,4.5927434297829945,3.7378012116486516
ranking,3,4,0.21773378429367643,0.2703650132358525,0.02448024512826376,0.0,0.0,4.5927434297829945,3.6986897429583907
ranking,3,5,0.21773378429367643,0.2771452093104972,0.021287149731207333,0.0,0.0,4.5927434297829945,3.608203779831111
ranking,3,6,0.21773378429367643,0.2815709569954992,0.022241798378295635,0.0,0.0,4.5927434297829945,3.5514900371132647
ranking,3,7,0.21773378429367643,0.28129065075117793,0.023888185447734436,0.0,0.0,4.5927434297829945,3.5550290857533122
ranking,3,8,0.21773378429367643,0.28399647505933395,0.024039745731063544,0.0,0.0,4.5927434297829945,3.521158065898564
ranking,3,9,0.21773378429367643,0.28671497607713076,0.023166669207270358,0.0,0.0,4.5927434297829945,3.487772162828435
ranking,4,0,0.22572809518701845,0.25859371183099844,0.013260904121320713,0.0,0.0,4.430089081655564,3.8670551030198115
ranking,4,1,0.22572809518701845,0.2623666491766576,0.014387934015152985,0.0,0.0,4.430089081655564,3.811445516008261
ranking,4,2,0.22572809518701845,0.26519838807419593,0.016132346534157762,0.0,0.0,4.430089081655564,3.7707477655273696
ranking,4,3,0.22572809518701845,0.2678363279392866,0.017232279525326768,0.0,0.0,4.430089081655564,3.733609529686916
ranking,4,4,0.22242483310683644,0.26684828530203636,0.017680115195987525,0.003303262080182001,0.014633810104343503,4.495880653933197,3.747433682905086
ranking,4,5,0.22242483310683644,0.2716311861662247,0.01918771644587262,0.0,0.014633810104343503,4.495880653933197,3.681448852265439
